History,Members,Depth,Payoff Vector P1,Payoff Vector P2,Player,Sons,Parents,Index Members
/9?/P1:c/P2:c/C:9,"['/C:9T/P1:c/P2:c/C:9', '/C:9J/P1:c/P2:c/C:9', '/C:9Q/P1:c/P2:c/C:9', '/C:9K/P1:c/P2:c/C:9']",4,"[9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, 5.0, 5.0, -1.0, 1.0]","[-9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, -5.0, -5.0, 1.0, -1.0]",1,"[157, 194]",[348],"[255, 411, 567, 723]"
/K?/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:KT/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4']",7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0]",1,[],"[19, 308, 332]","[3027, 3183, 3339, 3495]"
/Q?/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4,"['/C:Q9/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:QT/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:QJ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:QQ/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:QK/P1:raise2/P2:raise2/P1:c/C:K/P1:c/P2:raise4']",7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 0.0, 9.0, 0.0, -5.0, -13.0, 9.0, -9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, 0.0, -9.0, 0.0, 5.0, 13.0, -9.0, 9.0, 5.0]",1,[],"[155, 356, 384]","[2277, 2433, 2589, 2739, 2871]"
/9?/P1:raise2/P2:c/C:J/P1:c/P2:raise4,"['/C:99/P1:raise2/P2:c/C:J/P1:c/P2:raise4', '/C:9T/P1:raise2/P2:c/C:J/P1:c/P2:raise4', '/C:9J/P1:raise2/P2:c/C:J/P1:c/P2:raise4', '/C:9Q/P1:raise2/P2:c/C:J/P1:c/P2:raise4', '/C:9K/P1:raise2/P2:c/C:J/P1:c/P2:raise4']",6,"[0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0]","[0.0, -7.0, 0.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, -7.0, 7.0, 3.0]",1,[],"[124, 348]","[34, 172, 328, 484, 640]"
/K?/P1:raise2/P2:raise2/P1:c/C:9,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:9', '/C:KT/P1:raise2/P2:raise2/P1:c/C:9', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:9', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:9', '/C:KK/P1:raise2/P2:raise2/P1:c/C:9']",5,"[-13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]","[13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0]",1,"[237, 318]","[308, 332]","[3005, 3161, 3317, 3473, 3629]"
/9?/P1:c/P2:c/C:J/P1:c/P2:raise4,"['/C:99/P1:c/P2:c/C:J/P1:c/P2:raise4', '/C:9T/P1:c/P2:c/C:J/P1:c/P2:raise4', '/C:9J/P1:c/P2:c/C:J/P1:c/P2:raise4', '/C:9Q/P1:c/P2:c/C:J/P1:c/P2:raise4', '/C:9K/P1:c/P2:c/C:J/P1:c/P2:raise4']",6,"[0.0, 5.0, 0.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0, -9.0, 5.0, -5.0, -1.0]","[0.0, -5.0, 0.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0, 9.0, -5.0, 5.0, 1.0]",1,[],"[27, 348]","[109, 265, 421, 577, 733]"
/J?/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4,"['/C:J9/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:JT/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:JJ/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:JQ/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:JK/P1:c/P2:raise2/P1:c/C:Q/P1:c/P2:raise4']",7,"[11.0, 7.0, 7.0, -3.0, 11.0, 7.0, 7.0, -3.0, 0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0]","[-11.0, -7.0, -7.0, 3.0, -11.0, -7.0, -7.0, 3.0, 0.0, -7.0, 0.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, -7.0, 7.0, 3.0]",1,[],"[128, 209, 284]","[1614, 1770, 1902, 2052, 2208]"
/Q?/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4,"['/C:Q9/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:QT/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:QJ/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4', '/C:QK/P1:raise2/P2:raise2/P1:c/C:Q/P1:c/P2:raise4']",7,"[13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, 9.0, 9.0, -5.0]","[-13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, -9.0, -9.0, 5.0]",1,[],"[155, 359, 384]","[2271, 2427, 2583, 2865]"
/9?/P1:c/P2:c/C:T,"['/C:99/P1:c/P2:c/C:T', '/C:9T/P1:c/P2:c/C:T', '/C:9J/P1:c/P2:c/C:T', '/C:9Q/P1:c/P2:c/C:T', '/C:9K/P1:c/P2:c/C:T']",4,"[0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]","[0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0]",1,"[55, 118]",[348],"[105, 261, 417, 573, 729]"
/K?/P1:raise2/P2:raise2/P1:c/C:K,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:K', '/C:KT/P1:raise2/P2:raise2/P1:c/C:K', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:K', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:K']",5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0]","[-13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0]",1,"[11, 381]","[308, 332]","[3029, 3185, 3341, 3497]"
/K?/P1:raise2/P2:raise2/P1:c/C:J,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:J', '/C:KT/P1:raise2/P2:raise2/P1:c/C:J', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:J', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:J', '/C:KK/P1:raise2/P2:raise2/P1:c/C:J']",5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]","[-13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0]",1,"[41, 207]","[308, 332]","[3017, 3173, 3329, 3485, 3641]"
/T?/P1:c/P2:c/C:9/P1:raise4/P2:raise4,"['/C:T9/P1:c/P2:c/C:9/P1:raise4/P2:raise4', '/C:TT/P1:c/P2:c/C:9/P1:raise4/P2:raise4', '/C:TJ/P1:c/P2:c/C:9/P1:raise4/P2:raise4', '/C:TQ/P1:c/P2:c/C:9/P1:raise4/P2:raise4', '/C:TK/P1:c/P2:c/C:9/P1:raise4/P2:raise4']",6,"[-9.0, -5.0, 0.0, -5.0, -9.0, -5.0, -9.0, -5.0, -9.0, -5.0]","[9.0, 5.0, 0.0, 5.0, 9.0, 5.0, 9.0, 5.0, 9.0, 5.0]",1,[],"[66, 262]","[874, 1006, 1156, 1312, 1468]"
/J?/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4,"['/C:J9/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:JT/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:JJ/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:JQ/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4', '/C:JK/P1:c/P2:raise2/P1:c/C:K/P1:c/P2:raise4']",7,"[11.0, 7.0, 7.0, -3.0, 11.0, 7.0, 7.0, -3.0, 0.0, 7.0, 0.0, -3.0, -11.0, 7.0, -7.0, -3.0, -11.0, 7.0, -7.0, -3.0]","[-11.0, -7.0, -7.0, 3.0, -11.0, -7.0, -7.0, 3.0, 0.0, -7.0, 0.0, 3.0, 11.0, -7.0, 7.0, 3.0, 11.0, -7.0, 7.0, 3.0]",1,[],"[128, 209, 289]","[1620, 1776, 1908, 2058, 2214]"
/K?/P1:raise2/P2:raise2/P1:c/C:Q,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:Q', '/C:KT/P1:raise2/P2:raise2/P1:c/C:Q', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:Q', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:Q', '/C:KK/P1:raise2/P2:raise2/P1:c/C:Q']",5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]","[-13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0]",1,"[165, 233]","[308, 332]","[3023, 3179, 3335, 3491, 3647]"
/J?/P1:c/P2:c/C:T/P1:raise4/P2:raise4,"['/C:J9/P1:c/P2:c/C:T/P1:raise4/P2:raise4', '/C:JT/P1:c/P2:c/C:T/P1:raise4/P2:raise4', '/C:JJ/P1:c/P2:c/C:T/P1:raise4/P2:raise4', '/C:JQ/P1:c/P2:c/C:T/P1:raise4/P2:raise4', '/C:JK/P1:c/P2:c/C:T/P1:raise4/P2:raise4']",6,"[9.0, -5.0, -9.0, -5.0, 0.0, -5.0, -9.0, -5.0, -9.0, -5.0]","[-9.0, 5.0, 9.0, 5.0, 0.0, 5.0, 9.0, 5.0, 9.0, 5.0]",1,[],"[97, 128]","[1630, 1786, 1918, 2068, 2224]"
/K?/P1:raise2/P2:raise2/P1:c/C:T,"['/C:K9/P1:raise2/P2:raise2/P1:c/C:T', '/C:KT/P1:raise2/P2:raise2/P1:c/C:T', '/C:KJ/P1:raise2/P2:raise2/P1:c/C:T', '/C:KQ/P1:raise2/P2:raise2/P1:c/C:T', '/C:KK/P1:raise2/P2:raise2/P1:c/C:T']",5,"[13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, -13.0, -9.0, -9.0, 5.0, -13.0, 9.0, -9.0, -5.0, -5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 13.0, -9.0, 9.0, 5.0, 13.0, 9.0, 9.0, -5.0, 5.0, 0.0, -9.0, 0.0, 5.0, 0.0, 9.0, 0.0, -5.0, 0.0]","[-13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 13.0, 9.0, 9.0, -5.0, 13.0, -9.0, 9.0, 5.0, 5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, -13.0, 9.0, -9.0, -5.0, -13.0, -9.0, -9.0, 5.0, -5.0, 0.0, 9.0, 0.0, -5.0, 0.0, -9.0, 0.0, 5.0, 0.0]",1,"[277, 378]","[308, 332]","[3011, 3167, 3323, 3479, 3635]"
/9?/P1:c/P2:c/C:K,"['/C:99/P1:c/P2:c/C:K', '/C:9T/P1:c/P2:c/C:K', '/C:9J/P1:c/P2:c/C:K', '/C:9Q/P1:c/P2:c/C:K', '/C:9K/P1:c/P2:c/C:K']",4,"[0.0, -5.0, 0.0, 1.0, 0.0, 5.0, 0.0, -1.0, 0.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0, -9.0, -5.0, -5.0, 1.0, -9.0, 5.0, -5.0, -1.0, -1.0]","[0.0, 5.0, 0.0, -1.0, 0.0, -5.0, 0.0, 1.0, 0.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0, 9.0, 5.0, 5.0, -1.0, 9.0, -5.0, 5.0, 1.0, 1.0]",1,"[0, 234]",[348],"[123, 279, 435, 591, 747]"
